original_name,refactored_name,type,full_name,namespace,package,toolkit
CSLib_NormalStatus,,Enum,CSLib_NormalStatus,,CSLib,TKMath
ChFi2d_ConstructionError,,Enum,ChFi2d_ConstructionError,,ChFi2d,TKFillet
ChFi3d_FilletShape,,Enum,ChFi3d_FilletShape,,ChFi3d,TKFillet
ChFiDS_ChamfMethod,,Enum,ChFiDS_ChamfMethod,,ChFiDS,TKFillet
ChFiDS_ChamfMode,,Enum,ChFiDS_ChamfMode,,ChFiDS,TKFillet
ChFiDS_ErrorStatus,,Enum,ChFiDS_ErrorStatus,,ChFiDS,TKFillet
ChFiDS_State,,Enum,ChFiDS_State,,ChFiDS,TKFillet
ChFiDS_TypeOfConcavity,,Enum,ChFiDS_TypeOfConcavity,,ChFiDS,TKFillet
ChildTag,,Enum,ChildTag,,ChildTag,Unknown
ComputeMode,,Enum,ComputeMode,,ComputeMode,Unknown
Contap_IType,,Enum,Contap_IType,,Contap,TKHLR
Contap_TFunction,,Enum,Contap_TFunction,,Contap,TKHLR
Convert_ParameterisationType,,Enum,Convert_ParameterisationType,,Convert,TKMath
Counter,,Enum,Counter,,Counter,Unknown
DIR_RESPONSE,,Enum,DIR_RESPONSE,,DIR,Unknown
DataTag,,Enum,DataTag,,DataTag,Unknown
DataTag,,Enum,DataTag,,DataTag,Unknown
DataTag,,Enum,DataTag,,DataTag,Unknown
DisplayMode,,Enum,DisplayMode,,DisplayMode,Unknown
Draft_ErrorStatus,,Enum,Draft_ErrorStatus,,Draft,TKOffset
Draw_ColorKind,,Enum,Draw_ColorKind,,Draw,TKDraw
Draw_MarkerShape,,Enum,Draw_MarkerShape,,Draw,TKDraw
DsgPrs_ArrowSide,,Enum,DsgPrs_ArrowSide,,DsgPrs,TKV3d
EMaskFlags,,Enum,EMaskFlags,,EMaskFlags,Unknown
EMaskFlags,,Enum,EMaskFlags,,EMaskFlags,Unknown
EMskFlags,,Enum,EMskFlags,,EMskFlags,Unknown
EMskFlags,,Enum,EMskFlags,,EMskFlags,Unknown
EdgeType,,Enum,EdgeType,,EdgeType,Unknown
Extrema_ElementType,,Enum,Extrema_ElementType,,Extrema,TKGeomBase
Extrema_ExtAlgo,,Enum,Extrema_ExtAlgo,,Extrema,TKGeomBase
Extrema_ExtFlag,,Enum,Extrema_ExtFlag,,Extrema,TKGeomBase
FS_Statuses,,Enum,FS_Statuses,,FS,Unknown
FairCurve_AnalysisCode,,Enum,FairCurve_AnalysisCode,,FairCurve,TKGeomAlgo
FilletSurf_ErrorTypeStatus,,Enum,FilletSurf_ErrorTypeStatus,,FilletSurf,TKFillet
FilletSurf_StatusDone,,Enum,FilletSurf_StatusDone,,FilletSurf,TKFillet
FilletSurf_StatusType,,Enum,FilletSurf_StatusType,,FilletSurf,TKFillet
FilterResult,,Enum,FilterResult,,FilterResult,Unknown
FixMode,,Enum,FixMode,,FixMode,Unknown
FocusType,,Enum,FocusType,,FocusType,Unknown
Font_FontAspect,,Enum,Font_FontAspect,,Font,TKService
Font_Hinting,,Enum,Font_Hinting,,Font,TKService
Font_StrictLevel,,Enum,Font_StrictLevel,,Font,TKService
Font_UnicodeSubset,,Enum,Font_UnicodeSubset,,Font,TKService
FrustumCulling,,Enum,FrustumCulling,,FrustumCulling,Unknown
GCPnts_AbscissaType,,Enum,GCPnts_AbscissaType,,GCPnts,TKGeomBase
GCPnts_DeflectionType,,Enum,GCPnts_DeflectionType,,GCPnts,TKGeomBase
GProp_EquaType,,Enum,GProp_EquaType,,GProp,TKG3d
GProp_ValueType,,Enum,GProp_ValueType,,GProp,TKG3d
GccEnt_Position,,Enum,GccEnt_Position,,GccEnt,TKGeomAlgo
GccInt_IType,,Enum,GccInt_IType,,GccInt,TKGeomAlgo
GenMode,,Enum,GenMode,,GenMode,Unknown
Geom2dGcc_Type1,,Enum,Geom2dGcc_Type1,,Geom2dGcc,TKGeomAlgo
Geom2dGcc_Type2,,Enum,Geom2dGcc_Type2,,Geom2dGcc,TKGeomAlgo
Geom2dGcc_Type3,,Enum,Geom2dGcc_Type3,,Geom2dGcc,TKGeomAlgo
GeomAbs_BSplKnotDistribution,,Enum,GeomAbs_BSplKnotDistribution,,GeomAbs,TKMath
GeomAbs_CurveType,,Enum,GeomAbs_CurveType,,GeomAbs,TKMath
GeomAbs_IsoType,,Enum,GeomAbs_IsoType,,GeomAbs,TKMath
GeomAbs_JoinType,,Enum,GeomAbs_JoinType,,GeomAbs,TKMath
